sitename,range,column,lat,lon,date,cultivar,aboveground_dry_biomass,units
MAC Field Scanner Season 6 Range 49 Column 6,49,6,33.0762728414182,-111.97496646468201,2018-08-01,PI329466,16200.0,kg / ha
MAC Field Scanner Season 6 Range 49 Column 11,49,11,33.0762728679524,-111.97488461771799,2018-08-01,PI651497,14900.0,kg / ha
MAC Field Scanner Season 6 Range 50 Column 3,50,3,33.076308767491795,-111.975015589353,2018-08-01,PI540518,13900.0,kg / ha
MAC Field Scanner Season 6 Range 51 Column 5,51,5,33.0763447202351,-111.97498286703801,2018-08-01,PI563022,8270.0,kg / ha
MAC Field Scanner Season 6 Range 52 Column 14,52,14,33.076380710216895,-111.974835558786,2018-08-01,SP1516,11800.0,kg / ha
MAC Field Scanner Season 6 Range 52 Column 15,52,15,33.0763807154892,-111.97481918938499,2018-08-01,SP1516,6910.0,kg / ha
MAC Field Scanner Season 6 Range 16 Column 10,16,10,33.0750867734196,-111.974900444046,2018-08-01,PI641829,17100.0,kg / ha
MAC Field Scanner Season 6 Range 16 Column 11,16,11,33.0750867787361,-111.974884074863,2018-08-01,PI505717,10100.0,kg / ha
MAC Field Scanner Season 6 Range 18 Column 9,18,9,33.0751586523535,-111.97491684615801,2018-08-01,PI586435,15400.0,kg / ha
MAC Field Scanner Season 6 Range 19 Column 12,19,12,33.075194610385104,-111.974867755012,2018-08-01,PI329333,13600.0,kg / ha
MAC Field Scanner Season 6 Range 20 Column 5,20,5,33.0752305152848,-111.97498235587099,2018-08-01,PI569443,7300.0,kg / ha
MAC Field Scanner Season 6 Range 20 Column 14,20,14,33.0752305630894,-111.974835033036,2018-08-01,PI329506,8280.0,kg / ha
MAC Field Scanner Season 6 Range 30 Column 3,30,3,33.0755899255975,-111.975015259284,2018-08-01,PI197542,11300.0,kg / ha
MAC Field Scanner Season 6 Range 30 Column 8,30,8,33.075589952192104,-111.97493341293101,2018-08-01,PI534165,5970.0,kg / ha
MAC Field Scanner Season 6 Range 31 Column 3,31,3,33.0756258676926,-111.975015275766,2018-08-01,PI653617,12600.0,kg / ha
MAC Field Scanner Season 6 Range 31 Column 10,31,10,33.075625904936,-111.974900690836,2018-08-01,PI330181,13500.0,kg / ha
MAC Field Scanner Season 6 Range 20 Column 13,20,13,33.075230557778895,-111.974851402246,2018-08-01,PI656026,6230.0,kg / ha
MAC Field Scanner Season 6 Range 21 Column 6,21,6,33.0752664627154,-111.97496600315,2018-08-01,PI452542,12100.0,kg / ha
MAC Field Scanner Season 6 Range 21 Column 7,21,7,33.0752664680411,-111.974949633933,2018-08-01,PI506122,13000.0,kg / ha
MAC Field Scanner Season 6 Range 42 Column 13,42,13,33.0760212839829,-111.974851763799,2018-08-01,PI152965,13400.0,kg / ha
MAC Field Scanner Season 6 Range 20 Column 4,20,4,33.0752305099776,-111.97499872508499,2018-08-01,PI535795,10700.0,kg / ha
MAC Field Scanner Season 6 Range 20 Column 8,20,8,33.0752305311768,-111.97493324827101,2018-08-01,PI197542,10900.0,kg / ha
MAC Field Scanner Season 6 Range 20 Column 12,20,12,33.0752305524661,-111.97486777145599,2018-08-01,PI585966,15700.0,kg / ha
MAC Field Scanner Season 6 Range 18 Column 11,18,11,33.0751586629892,-111.974884107764,2018-08-01,PI573193,8350.0,kg / ha
MAC Field Scanner Season 6 Range 21 Column 3,21,3,33.0752664467427,-111.97501511077299,2018-08-01,PI154987,13000.0,kg / ha
MAC Field Scanner Season 6 Range 31 Column 4,31,4,33.075625873026,-111.974998906483,2018-08-01,PI156487,12400.0,kg / ha
