date,plot,range,column,scientificname,genotype,method,aboveground_dry_biomass,units,method_type
2018-07-31,MAC Field Scanner Season 6 Range 7 Column 5,7,5,Sorghum bicolor,PI569244,Whole above ground biomass at harvest,12100,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 7 Column 9,7,9,Sorghum bicolor,PI329471,Whole above ground biomass at harvest,11600,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 7 Column 10,7,10,Sorghum bicolor,PI570373,Whole above ground biomass at harvest,10400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 11 Column 4,11,4,Sorghum bicolor,PI257599,Whole above ground biomass at harvest,8310,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 11 Column 7,11,7,Sorghum bicolor,PI510757,Whole above ground biomass at harvest,9550,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 3,12,3,Sorghum bicolor,PI641817,Whole above ground biomass at harvest,9920,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 10,12,10,Sorghum bicolor,PI533902,Whole above ground biomass at harvest,9560,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 14,12,14,Sorghum bicolor,PI651496,Whole above ground biomass at harvest,17600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 3,13,3,Sorghum bicolor,PI562732,Whole above ground biomass at harvest,12200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 7,13,7,Sorghum bicolor,PI156487,Whole above ground biomass at harvest,15400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 14 Column 2,14,2,Sorghum bicolor,PI218112,Whole above ground biomass at harvest,11800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 14 Column 12,14,12,Sorghum bicolor,PI641821,Whole above ground biomass at harvest,19200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 2,15,2,Sorghum bicolor,PI267573,Whole above ground biomass at harvest,5370,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 9,16,9,Sorghum bicolor,PI330196,Whole above ground biomass at harvest,11000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 14,16,14,Sorghum bicolor,PI563022,Whole above ground biomass at harvest,9830,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 17 Column 11,17,11,Sorghum bicolor,PI330807,Whole above ground biomass at harvest,13600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 2,18,2,Sorghum bicolor,PI514456,Whole above ground biomass at harvest,8130,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 3,18,3,Sorghum bicolor,PI297155,Whole above ground biomass at harvest,4140,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 4,19,4,Sorghum bicolor,PI297155,Whole above ground biomass at harvest,6410,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 22 Column 5,22,5,Sorghum bicolor,PI329351,Whole above ground biomass at harvest,10500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 24 Column 3,24,3,Sorghum bicolor,PI329665,Whole above ground biomass at harvest,5190,kg/ha,manual
