date_of_flowering,sitename,lat,lon,trait_description,days_to_flowering,cultivar,range,pass,gdd
2016-08-23,Ashland Bottoms KSU 2016 Season Range 8 Pass 19,39.1391360664939,-96.63138009605059,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI302252,8,19,1127.0
2016-08-23,Ashland Bottoms KSU 2016 Season Range 12 Pass 9,39.1392830242361,-96.6317342282361,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",67.0,PI146890,12,9,1127.0
2016-08-24,Ashland Bottoms KSU 2016 Season Range 12 Pass 2,39.13928512493629,-96.63198075386958,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",68.0,PI156890,12,2,1142.0
2016-08-24,Ashland Bottoms KSU 2016 Season Range 14 Pass 20,39.1393509570346,-96.63134735064051,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",68.0,PI156890,14,20,1142.0
2016-08-24,Ashland Bottoms KSU 2016 Season Range 9 Pass 19,39.139171300887206,-96.63138047438521,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",68.0,PI566819,9,19,1142.0
2016-08-24,Ashland Bottoms KSU 2016 Season Range 15 Pass 17,39.1393873013641,-96.6314534777872,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",68.0,PI641810,15,17,1142.0
2016-08-24,Ashland Bottoms KSU 2016 Season Range 11 Pass 21,39.1392434369253,-96.631310340355,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",68.0,PI63715,11,21,1142.0
2016-08-24,Ashland Bottoms KSU 2016 Season Range 9 Pass 23,39.1391698249119,-96.63123870912979,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",68.0,PI586435,9,23,1142.0
2016-08-25,Ashland Bottoms KSU 2016 Season Range 3 Pass 11,39.1389607799161,-96.6316585778483,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",69.0,PI533902,3,11,1153.0
2016-08-25,Ashland Bottoms KSU 2016 Season Range 4 Pass 3,39.1389981193359,-96.6319420750103,"Number of days from sowing to the date when 50% of the plants in a plot reach flowering (anthesis), defined as the time when 50% of the anthers on 50% of the plants in a plot have emerged.",69.0,PI527045,4,3,1153.0
