date,plot,range,column,scientificname,genotype,height_block,method,aboveground_dry_biomass,units,method_type
2018-08-01,MAC Field Scanner Season 6 Range 20 Column 5,20,5,Sorghum bicolor,PI569443,short,Whole above ground biomass at harvest,7300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 20 Column 14,20,14,Sorghum bicolor,PI329506,short,Whole above ground biomass at harvest,8280,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 30 Column 3,30,3,Sorghum bicolor,PI197542,short,Whole above ground biomass at harvest,11300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 31 Column 3,31,3,Sorghum bicolor,PI653617,tall,Whole above ground biomass at harvest,12600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 31 Column 10,31,10,Sorghum bicolor,PI330181,tall,Whole above ground biomass at harvest,13500,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 3 Column 7,3,7,Sorghum bicolor,SP1516,border,Whole above ground biomass at harvest,13900,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 4 Column 6,4,6,Sorghum bicolor,PI585452,tall,Whole above ground biomass at harvest,8960,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 4 Column 12,4,12,Sorghum bicolor,PI153877,tall,Whole above ground biomass at harvest,8740,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 5 Column 4,5,4,Sorghum bicolor,PI646242,tall,Whole above ground biomass at harvest,10600,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 5 Column 13,5,13,Sorghum bicolor,PI453696,tall,Whole above ground biomass at harvest,7850,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 6 Column 9,6,9,Sorghum bicolor,PI641815,tall,Whole above ground biomass at harvest,12400,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 7 Column 2,7,2,Sorghum bicolor,PI330195,tall,Whole above ground biomass at harvest,8300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 9 Column 2,9,2,Sorghum bicolor,PI506069,tall,Whole above ground biomass at harvest,10400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 9 Column 7,9,7,Sorghum bicolor,PI152730,tall,Whole above ground biomass at harvest,15700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 9 Column 15,9,15,Sorghum bicolor,PI329618,tall,Whole above ground biomass at harvest,5170,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 10 Column 14,10,14,Sorghum bicolor,PI330199,tall,Whole above ground biomass at harvest,13800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 10 Column 15,10,15,Sorghum bicolor,PI154844,tall,Whole above ground biomass at harvest,8280,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 11 Column 2,11,2,Sorghum bicolor,PI563196,tall,Whole above ground biomass at harvest,10200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 11 Column 8,11,8,Sorghum bicolor,PI643008,tall,Whole above ground biomass at harvest,18200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 11 Column 13,11,13,Sorghum bicolor,PI651491,tall,Whole above ground biomass at harvest,15000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 6,12,6,Sorghum bicolor,PI329435,short,Whole above ground biomass at harvest,9130,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 12,12,12,Sorghum bicolor,PI656065,short,Whole above ground biomass at harvest,7360,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 14 Column 4,14,4,Sorghum bicolor,PI533998,short,Whole above ground biomass at harvest,20100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 4,15,4,Sorghum bicolor,PI330803,tall,Whole above ground biomass at harvest,23000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 13,15,13,Sorghum bicolor,PI155885,tall,Whole above ground biomass at harvest,14100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 14,15,14,Sorghum bicolor,PI506114,tall,Whole above ground biomass at harvest,7290,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 15,15,15,Sorghum bicolor,PI330181,tall,Whole above ground biomass at harvest,13200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 4,16,4,Sorghum bicolor,PI563330,tall,Whole above ground biomass at harvest,4670,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 17 Column 8,17,8,Sorghum bicolor,PI656015,short,Whole above ground biomass at harvest,12300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 17 Column 12,17,12,Sorghum bicolor,PI152651,short,Whole above ground biomass at harvest,10100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 17 Column 13,17,13,Sorghum bicolor,PI561840,short,Whole above ground biomass at harvest,12000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 4,18,4,Sorghum bicolor,PI563338,tall,Whole above ground biomass at harvest,4220,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 13,18,13,Sorghum bicolor,PI195754,tall,Whole above ground biomass at harvest,13500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 14,18,14,Sorghum bicolor,PI152730,tall,Whole above ground biomass at harvest,13500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 18 Column 15,18,15,Sorghum bicolor,PI585961,tall,Whole above ground biomass at harvest,7130,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 5,19,5,Sorghum bicolor,PI455221,tall,Whole above ground biomass at harvest,16000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 22 Column 4,22,4,Sorghum bicolor,PI337689,tall,Whole above ground biomass at harvest,14100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 22 Column 15,22,15,Sorghum bicolor,PI562970,tall,Whole above ground biomass at harvest,4960,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 23 Column 4,23,4,Sorghum bicolor,PI569423,tall,Whole above ground biomass at harvest,16900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 23 Column 9,23,9,Sorghum bicolor,PI569465,tall,Whole above ground biomass at harvest,13000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 24 Column 8,24,8,Sorghum bicolor,PI329699,tall,Whole above ground biomass at harvest,16900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 24 Column 15,24,15,Sorghum bicolor,PI196586,tall,Whole above ground biomass at harvest,15600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 25 Column 2,25,2,Sorghum bicolor,PI563332,tall,Whole above ground biomass at harvest,13900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 25 Column 7,25,7,Sorghum bicolor,PI175919,tall,Whole above ground biomass at harvest,12000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 25 Column 10,25,10,Sorghum bicolor,PI562730,tall,Whole above ground biomass at harvest,17400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 25 Column 13,25,13,Sorghum bicolor,PI329632,tall,Whole above ground biomass at harvest,7380,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 26 Column 9,26,9,Sorghum bicolor,PI570090,tall,Whole above ground biomass at harvest,15600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 26 Column 14,26,14,Sorghum bicolor,PI525049,tall,Whole above ground biomass at harvest,11800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 27 Column 3,27,3,Sorghum bicolor,PI585954,tall,Whole above ground biomass at harvest,12900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 27 Column 5,27,5,Sorghum bicolor,PI329541,tall,Whole above ground biomass at harvest,3160,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 27 Column 6,27,6,Sorghum bicolor,PI583832,tall,Whole above ground biomass at harvest,17200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 27 Column 11,27,11,Sorghum bicolor,PI152727,tall,Whole above ground biomass at harvest,13100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 27 Column 15,27,15,Sorghum bicolor,PI329570,tall,Whole above ground biomass at harvest,2500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 28 Column 11,28,11,Sorghum bicolor,PI455221,tall,Whole above ground biomass at harvest,20100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 2,29,2,Sorghum bicolor,PI330803,tall,Whole above ground biomass at harvest,3260,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 5,29,5,Sorghum bicolor,PI511355,tall,Whole above ground biomass at harvest,15300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 31 Column 14,31,14,Sorghum bicolor,PI586541,tall,Whole above ground biomass at harvest,22200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 32 Column 9,32,9,Sorghum bicolor,PI92270,tall,Whole above ground biomass at harvest,13100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 32 Column 15,32,15,Sorghum bicolor,PI337680,tall,Whole above ground biomass at harvest,4230,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 33 Column 3,33,3,Sorghum bicolor,PI329256,tall,Whole above ground biomass at harvest,10900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 33 Column 14,33,14,Sorghum bicolor,PI337689,tall,Whole above ground biomass at harvest,14000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 33 Column 15,33,15,Sorghum bicolor,PI156330,tall,Whole above ground biomass at harvest,6470,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 8,34,8,Sorghum bicolor,PI156217,tall,Whole above ground biomass at harvest,15200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 36 Column 4,36,4,Sorghum bicolor,PI329665,tall,Whole above ground biomass at harvest,19400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 37 Column 3,37,3,Sorghum bicolor,PI152591,tall,Whole above ground biomass at harvest,8830,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 37 Column 5,37,5,Sorghum bicolor,PI569423,tall,Whole above ground biomass at harvest,6190,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 37 Column 9,37,9,Sorghum bicolor,PI455217,tall,Whole above ground biomass at harvest,13300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 37 Column 14,37,14,Sorghum bicolor,PI152727,tall,Whole above ground biomass at harvest,13600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 5,38,5,Sorghum bicolor,PI570076,tall,Whole above ground biomass at harvest,12600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 10,38,10,Sorghum bicolor,PI255239,tall,Whole above ground biomass at harvest,18000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 14,38,14,Sorghum bicolor,PI154944,tall,Whole above ground biomass at harvest,16700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 15,39,15,Sorghum bicolor,PI573193,tall,Whole above ground biomass at harvest,3510,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 40 Column 13,40,13,Sorghum bicolor,PI156871,tall,Whole above ground biomass at harvest,11800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 41 Column 11,41,11,Sorghum bicolor,PI144134,tall,Whole above ground biomass at harvest,18900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 42 Column 8,42,8,Sorghum bicolor,PI576399,short,Whole above ground biomass at harvest,10100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 43 Column 11,43,11,Sorghum bicolor,PI154750,tall,Whole above ground biomass at harvest,9450,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 43 Column 12,43,12,Sorghum bicolor,PI196049,tall,Whole above ground biomass at harvest,17200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 44 Column 6,44,6,Sorghum bicolor,PI620157,tall,Whole above ground biomass at harvest,9730,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 44 Column 10,44,10,Sorghum bicolor,PI329501,short,Whole above ground biomass at harvest,11800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 44 Column 11,44,11,Sorghum bicolor,PI35038,short,Whole above ground biomass at harvest,14200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 44 Column 15,44,15,Sorghum bicolor,PI569445,short,Whole above ground biomass at harvest,7270,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 45 Column 3,45,3,Sorghum bicolor,PI329646,tall,Whole above ground biomass at harvest,6200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 45 Column 8,45,8,Sorghum bicolor,PI562998,tall,Whole above ground biomass at harvest,11500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 45 Column 9,45,9,Sorghum bicolor,PI585452,tall,Whole above ground biomass at harvest,15300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 45 Column 12,45,12,Sorghum bicolor,PI562970,tall,Whole above ground biomass at harvest,8180,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 45 Column 14,45,14,Sorghum bicolor,PI641810,tall,Whole above ground biomass at harvest,14900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 46 Column 5,46,5,Sorghum bicolor,PI329478,short,Whole above ground biomass at harvest,11200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 46 Column 8,46,8,Sorghum bicolor,PI570109,short,Whole above ground biomass at harvest,12300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 46 Column 15,46,15,Sorghum bicolor,PI569421,short,Whole above ground biomass at harvest,5130,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 47 Column 5,47,5,Sorghum bicolor,PI156326,tall,Whole above ground biomass at harvest,11000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 47 Column 9,47,9,Sorghum bicolor,PI619838,tall,Whole above ground biomass at harvest,9530,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 47 Column 15,47,15,Sorghum bicolor,PI145626,tall,Whole above ground biomass at harvest,12200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 48 Column 7,48,7,Sorghum bicolor,PI619807,tall,Whole above ground biomass at harvest,9010,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 48 Column 8,48,8,Sorghum bicolor,PI273465,tall,Whole above ground biomass at harvest,9380,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 49 Column 7,49,7,Sorghum bicolor,PI329702,tall,Whole above ground biomass at harvest,11500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 50 Column 2,50,2,Sorghum bicolor,PI641821,short,Whole above ground biomass at harvest,9200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 50 Column 6,50,6,Sorghum bicolor,PI569443,short,Whole above ground biomass at harvest,7880,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 50 Column 7,50,7,Sorghum bicolor,PI218112,short,Whole above ground biomass at harvest,13200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 50 Column 15,50,15,Sorghum bicolor,PI179749,short,Whole above ground biomass at harvest,7160,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 51 Column 2,51,2,Sorghum bicolor,PI19770,tall,Whole above ground biomass at harvest,8740,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 51 Column 14,51,14,Sorghum bicolor,PI195754,tall,Whole above ground biomass at harvest,14000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 52 Column 7,52,7,Sorghum bicolor,SP1516,border,Whole above ground biomass at harvest,13100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 20 Column 2,20,2,Sorghum bicolor,PI329501,short,Whole above ground biomass at harvest,7650,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 12,16,12,Sorghum bicolor,PI521280,tall,Whole above ground biomass at harvest,12800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 9,19,9,Sorghum bicolor,PI329510,tall,Whole above ground biomass at harvest,15400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 10,19,10,Sorghum bicolor,PI455280,tall,Whole above ground biomass at harvest,12000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 11,19,11,Sorghum bicolor,PI651495,tall,Whole above ground biomass at harvest,18100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 15,19,15,Sorghum bicolor,PI154844,tall,Whole above ground biomass at harvest,9620,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 21 Column 5,21,5,Sorghum bicolor,PI620157,tall,Whole above ground biomass at harvest,9560,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 29 Column 15,29,15,Sorghum bicolor,PI525049,tall,Whole above ground biomass at harvest,12400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 30 Column 7,30,7,Sorghum bicolor,PI217691,short,Whole above ground biomass at harvest,16700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 30 Column 9,30,9,Sorghum bicolor,PI562971,short,Whole above ground biomass at harvest,21300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 31 Column 5,31,5,Sorghum bicolor,PI514456,tall,Whole above ground biomass at harvest,12100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 31 Column 8,31,8,Sorghum bicolor,PI521280,tall,Whole above ground biomass at harvest,12400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 30 Column 12,30,12,Sorghum bicolor,PI655972,short,Whole above ground biomass at harvest,16500,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 3 Column 3,3,3,Sorghum bicolor,SP1516,border,Whole above ground biomass at harvest,11600,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 3 Column 5,3,5,Sorghum bicolor,SP1516,border,Whole above ground biomass at harvest,12300,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 3 Column 11,3,11,Sorghum bicolor,SP1516,border,Whole above ground biomass at harvest,15300,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 3 Column 12,3,12,Sorghum bicolor,SP1516,border,Whole above ground biomass at harvest,11000,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 3 Column 13,3,13,Sorghum bicolor,SP1516,border,Whole above ground biomass at harvest,11100,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 3 Column 14,3,14,Sorghum bicolor,SP1516,border,Whole above ground biomass at harvest,14300,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 4 Column 10,4,10,Sorghum bicolor,PI653617,tall,Whole above ground biomass at harvest,9760,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 5 Column 2,5,2,Sorghum bicolor,PI569455,tall,Whole above ground biomass at harvest,4540,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 5 Column 3,5,3,Sorghum bicolor,PI563355,tall,Whole above ground biomass at harvest,14200,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 5 Column 11,5,11,Sorghum bicolor,PI329546,tall,Whole above ground biomass at harvest,7610,kg/ha,manual
2018-07-31,MAC Field Scanner Season 6 Range 6 Column 13,6,13,Sorghum bicolor,PI585608,tall,Whole above ground biomass at harvest,10600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 8 Column 11,8,11,Sorghum bicolor,PI570042,short,Whole above ground biomass at harvest,9730,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 8 Column 13,8,13,Sorghum bicolor,PI329632,tall,Whole above ground biomass at harvest,9470,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 9 Column 6,9,6,Sorghum bicolor,PI257600,tall,Whole above ground biomass at harvest,10200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 9 Column 11,9,11,Sorghum bicolor,PI570114,tall,Whole above ground biomass at harvest,9680,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 9 Column 14,9,14,Sorghum bicolor,PI152923,tall,Whole above ground biomass at harvest,15000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 10 Column 3,10,3,Sorghum bicolor,PI505722,tall,Whole above ground biomass at harvest,11300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 10 Column 6,10,6,Sorghum bicolor,PI653616,tall,Whole above ground biomass at harvest,17300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 10 Column 7,10,7,Sorghum bicolor,PI145633,tall,Whole above ground biomass at harvest,15800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 10 Column 8,10,8,Sorghum bicolor,PI22913,tall,Whole above ground biomass at harvest,8000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 11 Column 3,11,3,Sorghum bicolor,PI170787,tall,Whole above ground biomass at harvest,8140,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 11 Column 11,11,11,Sorghum bicolor,PI455307,tall,Whole above ground biomass at harvest,9670,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 5,12,5,Sorghum bicolor,PI655972,short,Whole above ground biomass at harvest,13600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 12 Column 11,12,11,Sorghum bicolor,PI513898,short,Whole above ground biomass at harvest,11700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 4,13,4,Sorghum bicolor,PI656035,tall,Whole above ground biomass at harvest,8510,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 5,13,5,Sorghum bicolor,PI620072,tall,Whole above ground biomass at harvest,9050,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 6,13,6,Sorghum bicolor,PI562982,tall,Whole above ground biomass at harvest,11300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 10,13,10,Sorghum bicolor,PI641810,tall,Whole above ground biomass at harvest,13800,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 12,13,12,Sorghum bicolor,PI144134,tall,Whole above ground biomass at harvest,10100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 13 Column 15,13,15,Sorghum bicolor,PI570087,tall,Whole above ground biomass at harvest,10000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 15 Column 5,15,5,Sorghum bicolor,PI337680,tall,Whole above ground biomass at harvest,6270,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 5,16,5,Sorghum bicolor,PI329584,tall,Whole above ground biomass at harvest,1420,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 16 Column 15,16,15,Sorghum bicolor,PI642998,tall,Whole above ground biomass at harvest,12700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 17 Column 7,17,7,Sorghum bicolor,PI641836,short,Whole above ground biomass at harvest,16400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 17 Column 9,17,9,Sorghum bicolor,PI535794,short,Whole above ground biomass at harvest,9380,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 17 Column 15,17,15,Sorghum bicolor,PI152828,short,Whole above ground biomass at harvest,12100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 3,19,3,Sorghum bicolor,PI329511,tall,Whole above ground biomass at harvest,16200,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 6,19,6,Sorghum bicolor,PI329545,tall,Whole above ground biomass at harvest,7320,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 19 Column 8,19,8,Sorghum bicolor,PI154944,tall,Whole above ground biomass at harvest,10000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 21 Column 11,21,11,Sorghum bicolor,PI92270,tall,Whole above ground biomass at harvest,10900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 22 Column 6,22,6,Sorghum bicolor,PI152860,tall,Whole above ground biomass at harvest,12600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 22 Column 10,22,10,Sorghum bicolor,PI329301,tall,Whole above ground biomass at harvest,17900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 24 Column 14,24,14,Sorghum bicolor,PI562990,tall,Whole above ground biomass at harvest,3960,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 25 Column 3,25,3,Sorghum bicolor,PI167093,tall,Whole above ground biomass at harvest,17000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 26 Column 11,26,11,Sorghum bicolor,PI302252,tall,Whole above ground biomass at harvest,16700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 26 Column 12,26,12,Sorghum bicolor,PI569458,tall,Whole above ground biomass at harvest,7230,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 26 Column 15,26,15,Sorghum bicolor,PI563222,tall,Whole above ground biomass at harvest,9370,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 31 Column 13,31,13,Sorghum bicolor,PI562994,tall,Whole above ground biomass at harvest,7620,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 32 Column 8,32,8,Sorghum bicolor,PI329310,tall,Whole above ground biomass at harvest,13600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 32 Column 13,32,13,Sorghum bicolor,PI257599,tall,Whole above ground biomass at harvest,15300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 33 Column 5,33,5,Sorghum bicolor,PI570090,tall,Whole above ground biomass at harvest,8500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 33 Column 7,33,7,Sorghum bicolor,PI583832,tall,Whole above ground biomass at harvest,21100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 34 Column 9,34,9,Sorghum bicolor,PI569444,tall,Whole above ground biomass at harvest,15100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 35 Column 11,35,11,Sorghum bicolor,PI176766,tall,Whole above ground biomass at harvest,20500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 36 Column 10,36,10,Sorghum bicolor,PI641815,tall,Whole above ground biomass at harvest,16900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 37 Column 6,37,6,Sorghum bicolor,PI329510,tall,Whole above ground biomass at harvest,17100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 37 Column 10,37,10,Sorghum bicolor,PI562732,tall,Whole above ground biomass at harvest,20700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 6,38,6,Sorghum bicolor,PI641824,tall,Whole above ground biomass at harvest,13300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 5,39,5,Sorghum bicolor,PI153877,tall,Whole above ground biomass at harvest,13600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 8,39,8,Sorghum bicolor,PI569460,tall,Whole above ground biomass at harvest,5000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 40 Column 5,40,5,Sorghum bicolor,PI452542,tall,Whole above ground biomass at harvest,17400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 40 Column 15,40,15,Sorghum bicolor,PI655983,tall,Whole above ground biomass at harvest,14700,kg/ha,manual
