date,plot,range,column,scientificname,genotype,height_block,method,aboveground_dry_biomass,units,method_type
2018-08-01,MAC Field Scanner Season 6 Range 36 Column 3,36,3,Sorghum bicolor,PI152966,tall,Whole above ground biomass at harvest,14400,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 36 Column 5,36,5,Sorghum bicolor,PI570114,tall,Whole above ground biomass at harvest,11600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 36 Column 9,36,9,Sorghum bicolor,PI452692,tall,Whole above ground biomass at harvest,6650,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 37 Column 13,37,13,Sorghum bicolor,PI653616,tall,Whole above ground biomass at harvest,16500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 3,38,3,Sorghum bicolor,PI329473,tall,Whole above ground biomass at harvest,8890,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 7,38,7,Sorghum bicolor,PI651491,tall,Whole above ground biomass at harvest,20100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 11,38,11,Sorghum bicolor,PI152967,tall,Whole above ground biomass at harvest,16500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 38 Column 15,38,15,Sorghum bicolor,PI656035,tall,Whole above ground biomass at harvest,12600,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 39 Column 12,39,12,Sorghum bicolor,PI569447,tall,Whole above ground biomass at harvest,6440,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 40 Column 9,40,9,Sorghum bicolor,PI330199,tall,Whole above ground biomass at harvest,15000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 40 Column 10,40,10,Sorghum bicolor,PI330182,tall,Whole above ground biomass at harvest,19900,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 41 Column 7,41,7,Sorghum bicolor,PI329471,tall,Whole above ground biomass at harvest,10300,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 41 Column 8,41,8,Sorghum bicolor,PI329517,tall,Whole above ground biomass at harvest,11700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 41 Column 9,41,9,Sorghum bicolor,PI329864,tall,Whole above ground biomass at harvest,17000,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 42 Column 5,42,5,Sorghum bicolor,PI535794,short,Whole above ground biomass at harvest,11100,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 42 Column 10,42,10,Sorghum bicolor,PI533998,short,Whole above ground biomass at harvest,11500,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 42 Column 15,42,15,Sorghum bicolor,PI569422,short,Whole above ground biomass at harvest,7040,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 43 Column 4,43,4,Sorghum bicolor,PI329333,tall,Whole above ground biomass at harvest,7850,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 43 Column 6,43,6,Sorghum bicolor,PI155760,tall,Whole above ground biomass at harvest,18700,kg/ha,manual
2018-08-01,MAC Field Scanner Season 6 Range 44 Column 2,44,2,Sorghum bicolor,PI641817,short,Whole above ground biomass at harvest,8120,kg/ha,manual
