date,sitename,range,pass,lat,lon,cultivar,trait_description,canopy_height_cm
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 21 Pass 16,21,16,39.139603196531795,-96.6314908544025,PI570110,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",75.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 29 Pass 9,29,9,39.1398887859923,-96.6317412553962,PI570110,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",69.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 33 Pass 13,33,13,39.1400313889087,-96.6316025261377,PI570091,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",67.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 22 Pass 10,22,10,39.1396395358389,-96.63170268749491,PI570096,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",58.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 21 Pass 15,21,15,39.1396034327275,-96.6315264587233,PI570087,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",63.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 16 Pass 25,16,25,39.139420351142604,-96.63117057477909,PI570075,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",84.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 23 Pass 9,23,9,39.139676114903395,-96.6317387861207,PI570075,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",70.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 18 Pass 24,18,24,39.1394922029775,-96.63120703096291,PI570053,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",76.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 33 Pass 4,33,4,39.1400340041646,-96.6319189689466,PI570076,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",72.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 16 Pass 22,16,22,39.1394212604482,-96.6312770499629,PI568717,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",71.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 22 Pass 15,22,15,39.1396381795016,-96.63152688338621,PI570074,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",58.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 24 Pass 6,24,6,39.1397127833496,-96.6318445236583,PI570053,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",56.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 22 Pass 9,22,9,39.1396398154261,-96.63173837216249,PI570071,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",54.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 20 Pass 5,20,5,39.1395697394012,-96.6318778902063,PI569886,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",52.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 27 Pass 17,27,17,39.1398157754531,-96.63145828909491,PI569886,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",57.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 17 Pass 7,17,7,39.1394612653365,-96.6318071060848,PI570031,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",84.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 16 Pass 16,16,16,39.139423052967295,-96.6314888179009,PI570038,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",86.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 22 Pass 8,22,8,39.139640094686705,-96.63177406153851,PI570085,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",64.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 9 Pass 12,9,12,39.139173869644104,-96.6316263292371,PI569090,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",102.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 19 Pass 22,19,22,39.139528176812,-96.63127837765909,PI563022,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",72.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 25 Pass 16,25,16,39.139744515059995,-96.6314924463216,PI563348,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",78.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 5 Pass 25,5,25,39.139028256337205,-96.6311655383415,PI561840,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",87.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 33 Pass 11,33,11,39.140031966496004,-96.631672355708,PI562732,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",92.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 21 Pass 22,21,22,39.139601810977794,-96.63127928321329,PI562897,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",66.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 24 Pass 3,24,3,39.139713707785795,-96.63195033730119,PI562971,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",70.7
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 10 Pass 10,10,10,39.139210597617605,-96.6316973629972,PI535795,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",96.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 4 Pass 9,4,9,39.138996523419706,-96.6317308964193,PI550604,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",66.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 7 Pass 22,7,22,39.1390996171526,-96.6312730776009,PI550604,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",63.0
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 14 Pass 13,14,13,39.1393528732939,-96.63159372213092,PI535785,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",88.3
2016-07-21 00:00:00-05:00,Ashland Bottoms KSU 2016 Season Range 3 Pass 16,3,16,39.1389594084061,-96.6314835885021,PI535793,"top of the general canopy of the plant, discounting any exceptional branches, leaves or photosynthetic portions of the inflorescence.",69.7
